BL,SHIP_DATE,STATUS,RECEIVED_DATE_cst,DESC1,shipvia
53633,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",2022-Jul-25,2023-Apr-24,Customer Pickup
54915,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Jan-20,2023-Mar-10,Customer Pickup
55258,2023-Aug-01,Your order is in stock. Pickup date is confirmed.,2023-Feb-28,2023-Aug-01,Customer Pickup
55257,2023-Aug-04,Our distribution centre has advised that your order has not yet been picked up.,2023-Feb-28,2023-Jun-01,Customer Pickup
55226,2023-Sep-25,Your order is in stock. Pickup date is confirmed.,2023-Feb-22,2023-Sep-25,Customer Pickup
55227,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Feb-22,2023-Sep-04,Customer Pickup
55228,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Feb-22,2023-Oct-02,Customer Pickup
55229,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Feb-22,2023-Nov-01,Customer Pickup
55381,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Mar-20,2023-Aug-01,Customer Pickup
55475,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Feb-21,2023-Mar-30,FEDEX FRT PRIORITY
55828,2023-Oct-02,Your order is in stock. Pickup date is confirmed.,2023-May-10,2023-Oct-02,Customer Pickup
55799,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-May-05,2023-May-19,Customer Pickup
55831,2023-Aug-18,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-May-10,2023-Aug-21,Customer Pickup
55918,2023-Aug-02,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-May-19,2023-May-29,FEDEX FRT PRIORITY
55970,To be confirmed,Your order requires prepayment. Please refer to instructions in your order confirmationemail and proforma invoice. Ship / pickup date is not confirmed.,2023-May-30,2023-Jun-15,FEDEX FRT PRIORITY
55950,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-May-24,2023-Sep-15,Customer Pickup
55975,2023-Aug-18,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-May-27,2023-Aug-21,Customer Pickup
56011,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Jun-05,2023-Jun-09,Dempsey
56019,To be confirmed,,,,
56020,2023-Sep-14,Your order is in stock. Pickup date is confirmed.,2023-Jun-05,2023-Sep-14,Customer Pickup
56022,2023-Aug-08,Your order is in stock. Pickup date is confirmed.,2023-Jun-06,2023-Jun-06,UPS GROUND
56016,To be confirmed,,,,
56103,2023-Aug-04,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Jun-12,2023-Jun-22,FEDEX FRT PRIORITY
55994,To be confirmed,,,,Customer Pickup
56042,2023-Aug-17,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jun-08,2023-Aug-24,FEDEX FRT PRIORITY
56117,To be confirmed,One or more products on your order are not yet in stock. Please reply to Customer Service toconfirm if you would like to split the order or wait to pickup complete.,2023-Jun-13,2023-Aug-18,Customer Pickup
56119,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Jun-13,2023-Jun-27,Customer Pickup
56171,2023-Aug-15,Your order was picked up on 2023-Aug-04. We are awaiting freight charges and you will receive an invoice shortly.,2023-Jun-16,2023-Jun-30,FEDEX FRT PRIORITY
56173,2023-Oct-02,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jun-16,2023-Oct-02,Customer Pickup
56174,To be confirmed,Your order has been placed with our supplier. Delivery / pickup date to be confirmed.,2023-Jun-16,2023-Nov-06,Customer Pickup
56156,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jun-15,2023-Sep-07,FEDEX FRT PRIORITY
56170,2023-Sep-08,Your order is in stock. Pickup date is confirmed.,2023-Jun-16,2023-Sep-08,Customer Pickup
56176,To be confirmed,Your order has been placed with our supplier. Delivery / pickup date to be confirmed.,2023-Jun-16,2023-Dec-01,Customer Pickup
56177,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jun-19,2023-Sep-14,Customer Pickup
56198,2023-Aug-28,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jun-21,2023-Sep-04,FEDEX FRT PRIORITY
